asset_number,title,original_department,added_department
474,Sanyo -20°C Freezer,,
475,Chart Recorder,,
476,Pipette Multichannel,BD,
477,BioSafety Cabinet,,
478,Microcomputed Tomography Imaging System,,
479,Analytical Balance,,
480,Osmometer,QC,
485,Sanyo 2-8ºC Refrigerator,QC,
487,Versamax Plate Reader,,
488,Spectra Test ABS1 Validation Plate,BD,
489,VWR Orbital shaker mini 120V,QC,
493,Column Manometer (pressure gauge),PD,
496,Honeywell Chart Recorder,PD,
502,100-1000ul pipette,QC,
503,SciLog SciCon in-line Conductivity Meter,,
504,SciLog SciPress in-line Pressure Monitor,,
505,Freezer -80ºC,,
508,Cobex Chart Recorder,,
509,Environmental cold room 2ºC to 8ºC,PD,
510,Chart Recorder- Honeywell for 2ºC to 8ºC cold room,PD,
511,Biotek ELX405 Microplate Washer,BD,
516,12 channel variable volume pipette (5-50uL),BD,
517,12 channel variable volume pipette (50-300uL),BD,
518,BSC,,
519,BSC,,
520,Pipette Lite L-20,QC,
521,Pipette Lite L-10,QC,
523,Refigerated Centrifuge,,
524,CO2 Incubator,PD,
526,Superose 12 10/300GL,,
527,Sanyo Freezer -20°C,MM,
529,Freezer -80ºC Revco,,
530,Binder Incubator,QC,
531,Binder Incubator,BD,
543,Refrigerated recirculating chiller,,
544,20-200ul single channel pipettor,,
546,2-20ul single channel pipettor,,
549,100-1000ul single channel pipettor,PD,
550,2-20ul single channel pipettor,PD,
551,20-200ul single channel pipettor,PD,
552,50-300ul 8 channel pipettor,PD,
553,0.5-10ul single channel pipettor,,
554,2-20ul single channel pipettor,,
556,20-200ul single channel pipettor,,
557,100-1000 ul Pipette,PD,
558,2-20ul single channel pipettor,PD,
559,20-200ul single channel pipettor,,
560,100-1000ul single channel pipettor,,
561,2-20ul single channel pipettor,,
562,20-200ul single channel pipettor,,
563,2-20ul single channel pipettor,,
564,20-200ul single channel pipettor,PD,
565,50-300ul Multi-channel pipette (8 channels),,
566,20-200ul pipette,,
567,100-1000ul single channel pipettor,,
568,5-10ul pipette,,
569,100-1000ul pipette,,
570,2-20ul pipette,,
571,100-1000ul single channel pipettor,,
572,2-20ul single channel pipettor,,
573,100-1000ul single channel pipettor,,
574,100-1000ul single channel pipettor,,
575,20-200ul single channel pipettor,,
576,20-200ul single channel pipettor,,
577,100-1000ul single channel pipettor,,
578,100-1000ul single channel pipettor,,
579,20-200ul single channel pipettor,,
580,20-200ul single channel pipettor,,
581,2-20ul single channel pipettor,,
582,20-200ul single channel pipettor,,
583,10-100ul single channel pipettor,FORM,
584,0.5-10ul single channel pipettor,FORM,
585,2-20ul single channel pipettor,FORM,
586,100-1000ul single channel pipettor,FORM,
587,20-200ul Pipette,,
588,0.5-10ul single channel pipettor,,
589,100-1000ul single channel pipettor,PD,
590,2-20ul single channel pipettor,,
591,20-200ul single channel pipettor,PD,
592,10-100ul pipette,,
593,100-1000ul single channel pipettor,,
594,10-100ul single channel pipettor,,
595,20-200ul single channel pipettor,,
596,0.2-2ul single channel pipettor,,
597,2-20ul single channel pipettor,,
598,0.5-10ul single channel pipettor,,
599,20-200ul single channel pipettor,,
600,2-20ul single channel pipettor,,
601,100-1000ul single channel pipettor,PD,
602,0.5-10ul single channel pipettor,PD,
603,20-200ul single channel pipettor,PD,
604,100-1000ul single channel pipettor,PD,
605,2-20ul single channel pipettor,PD,
606,0.5-10ul single channel pipettor,PD,
607,20-200ul single channel pipettor,PD,
608,100-1000ul single channel pipettor,PD,
609,2-20ul single channel pipettor,PD,
610,2-20ul single channel pipettor,,
611,100-1000ul single channel pipettor,,
612,20-200ul single channel pipettor,,
613,1-10ul Pipette,,
614,5-50ul Pipette,,
615,100-1000ul single channel pipettor,,
616,20-200ul single channel pipettor,,
617,2-20ul single channel pipettor,,
618,2-20ul single channel pipettor,,
619,20-200ul single channel pipettor,,
620,0.5-10ul single channel pipettor,,
621,100-1000ul single channel pipettor,,
622,20-200ul single channel pipettor,,
623,2-20ul single channel pipettor,,
624,0.5-10ul single channel pipettor,,
625,2-20ul single channel pipettor,,
626,2-20ul single channel pipettor,,
627,100-1000ul single channel pipettor,,
628,20-200ul single channel pipettor,,
629,20-200ul single channel pipettor,,
630,100-1000ul single channel pipettor,,
631,100-1000ul single channel pipettor,,
632,20-200ul single channel pipettor,,
633,2-20ul single channel pipettor,,
634,0.5-10ul Pipette,,
635,100-1000ul single channel pipettor,,
636,2-20ul single channel pipettor,,
637,0.5-10ul single channel pipettor,,
638,20-200ul single channel pipettor,,
639,15-1250ul multi-channel pipette (8-channel),,
640,15-1250ul multi-channel pipette (8-channel),,
641,5-250ul multi-channel pipette (8-channel),,
642,2-20ul single channel pipettor,,
643,100-1000ul single channel pipettor,,
644,20-200ul Pipette,,
645,2-20ul single channel pipettor,,
646,0.5-10ul single channel pipettor,,
647,0.5-10ul single channel pipettor,,
648,10-100ul single channel pipettor,,
649,20-200ul single channel pipettor,FORM,
650,100-1000ul single channel pipettor,,
651,10-100ul single channel pipettor,,
652,1000-5000ul single channel pipettor,,
653,1000-5000ul single channel pipettor,,
654,0.5-10ul Pipette,,
655,100-1000ul single channel pipettor,,
656,2-20ul single channel pipettor,,
657,20-200ul single channel pipettor,,
658,0.5-10ul Pipette,,
659,100-1000ul Pipette,,
660,0.5-10ul Pipette,,
661,20-200ul Pipette,,
662,2-20ul Pipette,,
663,VWR 100-1000ul single channel pipettor,,
664,VWR 2-20ul single channel pipettor,,
665,VWR 10-100ul single channel pipettor,PD,
666,VWR 100-1000ul single channel pipettor,PD,
667,VWR 20-200ul single channel pipettor,,
668,VWR 2-20ul single channel pipettor,PD,
669,VWR 100-1000ul single channel pipettor,PD,
670,VWR 20-200ul single channel pipettor,PD,
671,VWR 10-100ul single channel pipettor,PD,
672,VWR 2-20ul single channel pipettor,PD,
673,VWR 0.5-10ul single channel pipettor,PD,
674,20-200ul Pipette,AD,
675,100-1000ul Pipette,,
676,2-20ul Pipette,AD,
677,VWR 2-20ul Pipette,,
679,50-300ul 12-channel pipette,BD,
680,Hood,,
681,Stirrer,,
682,Pump Mixer,,
